title,description,label_int,label
 #39;Batman dad is no threat #39;,"A FATHER who scaled the walls of a Cardiff court dressed as superhero Robin said the Buckingham Palace protester posed no threat. Fathers 4 Justice activist Jim Gibson, who earlier this year staged an eye-catching ",1,World
Merck takes down the Dow,"NEW YORK (CBS.MW) - US stocks traded mixed Thurday as Merck shares lost a quarter of their value, dragging blue chips lower, but the Nasdaq moved higher, buoyed by gains in the semiconductor sector.",3,Business
Gillard out of shadow treasurer race,"Julia Gillard has reportedly bowed out of the race to become shadow treasurer, taking enormous pressure off Opposition Leader Mark Latham.",1,World
IE Strategy Backfires,It #39;s official. Microsoft recently stated definitivelyand contrary to rumorsthat there will be no new versions of Internet Explorer for users of older versions of Windows.,4,Sci/Tech
"Olympic Games 2012 great stake for France #39;s sports, says French &lt;b&gt;...&lt;/b&gt;","The success of Paris #39; bid for Olympic Games 2012 would bring an exceptional development for France for at least 6 years, said Jean-Francois Lamour, French minister for Youth and Sports on Tuesday.",2,Sports
Among the well-heeled at the world polo championships in Chantilly (AFP),AFP - Maybe it's something to do with the fact that the playing area is so vast that you need a good pair of binoculars to see the action if it's not taking place right in front of the stands.,1,World
Azzam release to improve Egypt-Israel ties,Egypt #39;s release of accused Israeli spy Azzam Azzam in an apparent swap for six Egyptian students held on suspicion of terrorism is expected to melt the ice and perhaps result ,1,World
Why MS paid Novell half a billion bucks today,"But fresh antitrust suit is in the envelope, says Novell",4,Sci/Tech
Designer puts 96 cores on single chip,Chips that help a computer's main microprocessors perform specific types of math problems are becoming a big business once again.\,4,Sci/Tech
"Israeli soldier, four militants killed in Gaza","GAZA CITY, Gaza Strip: Hamas militants killed an Israeli soldier and wounded four with an explosion in a booby-trapped chicken coop on Tuesday, in what the Islamic group said was an elaborate scheme to lure troops to the area with the help of a double ",1,World
New Crew Sets Off for Space Station,"A rocket carrying two Russian cosmonauts and an American astronaut to the international space station streaked into orbit on Thursday, the latest flight of a Russian space vehicle to fill in for grounded US shuttles.",4,Sci/Tech
ATA Airlines gives rivals a shot at Chicago market,Bankrupt ATA Airlines #39; withdrawal from Chicago #39;s Midway International Airport presents a juicy opportunity for another airline to beef up service in the Midwest ,3,Business
Iran Group Canvasses for Suicide Bombers (AP),"AP - The 300 men filling out forms in the offices of an Iranian aid group were offered three choices: Train for suicide attacks against U.S. troops in Iraq, for suicide attacks against Israelis or to assassinate British author Salman Rushdie.",1,World
